batter,player_name,total_pa,uab,cab,uab_rate,cab_rate,PCA+
408234,miguel cabrera,366,110,256,30.05,69.95,94.0
624415,cavan biggio,346,104,242,30.06,69.94,94.0
664983,jake mccarthy,306,92,214,30.07,69.93,93.9
643446,jeff mcneil,640,193,447,30.16,69.84,93.5
672284,jarred kelenic,407,123,284,30.22,69.78,93.2
668800,andrew knizner,241,73,168,30.29,69.71,92.9
669397,nick allen,330,100,230,30.3,69.7,92.9
672275,patrick bailey,353,107,246,30.31,69.69,92.8
686894,joey wiemer,412,125,287,30.34,69.66,92.7
669720,austin hays,573,174,399,30.37,69.63,92.6
607054,jace peterson,428,130,298,30.37,69.63,92.6
668930,brice turang,451,137,314,30.38,69.62,92.5
676701,alan trejo,227,69,158,30.4,69.6,92.5
666310,bo naylor,230,70,160,30.43,69.57,92.3
669394,jake burger,548,167,381,30.47,69.53,92.1
572761,matt carpenter,233,71,162,30.47,69.53,92.1
669127,shea langeliers,485,148,337,30.52,69.48,91.9
543510,james mccann,226,69,157,30.53,69.47,91.9
516782,starling marte,331,101,230,30.51,69.49,91.9
519317,giancarlo stanton,409,125,284,30.56,69.44,91.7
571771,enrique hernández,510,156,354,30.59,69.41,91.6
664056,harrison bader,346,106,240,30.64,69.36,91.4
680776,jarren duran,362,111,251,30.66,69.34,91.3
665926,andrés giménez,606,186,420,30.69,69.31,91.2
669261,jack suwinski,531,163,368,30.7,69.3,91.2
630105,jake cronenworth,515,158,357,30.68,69.32,91.2
543939,kolten wong,244,75,169,30.74,69.26,91.0
664702,myles straw,510,157,353,30.78,69.22,90.8
641820,trey mancini,260,80,180,30.77,69.23,90.8
657041,lane thomas,679,209,470,30.78,69.22,90.8
516416,jean segura,318,98,220,30.82,69.18,90.6
678246,miguel vargas,295,91,204,30.85,69.15,90.5
687263,zach neto,330,102,228,30.91,69.09,90.3
666624,christopher morel,430,133,297,30.93,69.07,90.2
521692,salvador pérez,575,178,397,30.96,69.04,90.1
622761,jorge mateo,352,109,243,30.97,69.03,90.0
605131,austin barnes,200,62,138,31.0,69.0,89.9
691023,jordan walker,461,143,318,31.02,68.98,89.8
641857,ryan mcmahon,617,192,425,31.12,68.88,89.4
680777,ryan jeffers,356,111,245,31.18,68.82,89.1
681481,kerry carpenter,458,143,315,31.22,68.78,88.9
624413,pete alonso,647,202,445,31.22,68.78,88.9
571657,kyle farmer,371,116,255,31.27,68.73,88.8
595879,javier báez,544,170,374,31.25,68.75,88.8
542932,jon berti,428,134,294,31.31,68.69,88.6
670764,taylor walls,354,111,243,31.36,68.64,88.4
458015,joey votto,242,76,166,31.4,68.6,88.2
641933,tyler o'neill,261,82,179,31.42,68.58,88.1
677649,ezequiel duran,439,138,301,31.44,68.56,88.1
669222,nick senzel,331,104,227,31.42,68.58,88.1
595978,austin hedges,210,66,144,31.43,68.57,88.1
543309,kyle higashioka,261,82,179,31.42,68.58,88.1
670242,matt wallner,267,84,183,31.46,68.54,88.0
543257,robbie grossman,432,136,296,31.48,68.52,87.9
605119,brian anderson,359,113,246,31.48,68.52,87.9
666134,nolan jones,422,133,289,31.52,68.48,87.7
682829,elly de la cruz,428,135,293,31.54,68.46,87.6
594807,adam duvall,348,110,238,31.61,68.39,87.4
667452,corey julks,322,102,220,31.68,68.32,87.1
663743,nick fortes,324,103,221,31.79,68.21,86.6
681546,james outman,566,180,386,31.8,68.2,86.6
642731,thairo estrada,525,167,358,31.81,68.19,86.6
666139,josh lowe,506,161,345,31.82,68.18,86.5
645801,mike ford,251,80,171,31.87,68.13,86.3
660821,jesús sánchez,407,130,277,31.94,68.06,86.0
500871,eduardo escobar,303,97,206,32.01,67.99,85.7
668731,akil baddoo,356,114,242,32.02,67.98,85.7
664913,seth brown,374,120,254,32.09,67.91,85.5
669477,casey schmitt,277,89,188,32.13,67.87,85.3
592669,hunter renfroe,544,175,369,32.17,67.83,85.1
621439,byron buxton,341,110,231,32.26,67.74,84.8
662139,daulton varsho,583,188,395,32.25,67.75,84.8
621438,tyrone taylor,251,81,170,32.27,67.73,84.7
660162,yoán moncada,350,113,237,32.29,67.71,84.7
673962,josh jung,533,172,361,32.27,67.73,84.7
462101,elvis andrus,400,130,270,32.5,67.5,83.9
592206,nick castellanos,686,223,463,32.51,67.49,83.8
669707,jared triolo,209,68,141,32.54,67.46,83.7
670097,zack short,254,83,171,32.68,67.32,83.2
642136,matt thaiss,306,100,206,32.68,67.32,83.2
607680,kevin pillar,208,68,140,32.69,67.31,83.1
678894,liover peguero,213,70,143,32.86,67.14,82.5
666160,mickey moniak,322,106,216,32.92,67.08,82.3
608336,joey gallo,331,109,222,32.93,67.07,82.2
606192,teoscar hernández,671,221,450,32.94,67.06,82.2
665828,oswaldo cabrera,327,108,219,33.03,66.97,81.9
553869,elías díaz,517,171,346,33.08,66.92,81.7
641313,tim anderson,516,171,345,33.14,66.86,81.5
592696,eddie rosario,519,173,346,33.33,66.67,80.8
474832,brandon belt,408,136,272,33.33,66.67,80.8
572191,michael taylor,396,132,264,33.33,66.67,80.8
621035,chris taylor,389,130,259,33.42,66.58,80.4
641343,jake bauers,272,91,181,33.46,66.54,80.3
682985,riley greene,412,138,274,33.5,66.5,80.2
624414,christian arroyo,203,68,135,33.5,66.5,80.2
670042,luke raley,406,136,270,33.5,66.5,80.2
595909,jake cave,200,67,133,33.5,66.5,80.2
642715,willy adames,643,216,427,33.59,66.41,79.8
605113,nick ahmed,205,69,136,33.66,66.34,79.6
665155,nick maton,293,99,194,33.79,66.21,79.1
663728,cal raleigh,562,190,372,33.81,66.19,79.1
543877,christian vázquez,350,119,231,34.0,66.0,78.4
686217,sal frelick,232,79,153,34.05,65.95,78.2
656448,stone garrett,272,93,179,34.19,65.81,77.7
676609,josé caballero,280,96,184,34.29,65.71,77.4
672478,jordan diaz,294,102,192,34.69,65.31,76.0
672356,gabriel arias,345,120,225,34.78,65.22,75.7
650489,willi castro,422,147,275,34.83,65.17,75.5
656413,stuart fairchild,257,90,167,35.02,64.98,74.9
606992,eric haase,288,101,187,35.07,64.93,74.8
666165,blake sabol,342,120,222,35.09,64.91,74.7
643265,garrett cooper,450,158,292,35.11,64.89,74.6
673357,luis robert,582,205,377,35.22,64.78,74.3
605612,harold castro,264,93,171,35.23,64.77,74.2
693049,oscar colás,256,91,165,35.55,64.45,73.2
543068,c. j. cron,270,96,174,35.56,64.44,73.2
665923,esteury ruiz,493,176,317,35.7,64.3,72.7
660707,elehuris montero,298,107,191,35.91,64.09,72.1
657557,paul dejong,401,144,257,35.91,64.09,72.1
676694,jake meyers,335,121,214,36.12,63.88,71.4
686668,brenton doyle,431,157,274,36.43,63.57,70.5
519058,mike moustakas,387,141,246,36.43,63.57,70.4
668901,mark vientos,233,85,148,36.48,63.52,70.3
624512,reese mcguire,205,75,130,36.59,63.41,70.0
666801,rodolfo castro,257,94,163,36.58,63.42,70.0
671221,drew waters,337,125,212,37.09,62.91,68.5
624641,edmundo sosa,300,112,188,37.33,62.67,67.8
455117,martín maldonado,411,154,257,37.47,62.53,67.4
542194,christian bethancourt,330,124,206,37.58,62.42,67.1
657136,connor wong,403,153,250,37.97,62.03,66.0
678662,ezequiel tovar,607,231,376,38.06,61.94,65.7
642350,josé siri,364,142,222,39.01,60.99,63.1
668472,nick pratto,346,141,205,40.75,59.25,58.7
