batter,player_name,total_pa,uab,cab,uab_rate,cab_rate,PCA+
665489,vladimir guerrero,720,173,547,24.03,75.97,129.1
514888,josé altuve,614,148,466,24.1,75.9,128.6
641313,tim anderson,364,88,276,24.18,75.82,128.1
621493,taylor ward,578,140,438,24.22,75.78,127.8
518735,yasmani grandal,383,93,290,24.28,75.72,127.3
405395,albert pujols,362,88,274,24.31,75.69,127.2
519203,anthony rizzo,558,136,422,24.37,75.63,126.7
605170,víctor caratini,324,79,245,24.38,75.62,126.6
593428,xander bogaerts,635,155,480,24.41,75.59,126.5
593160,whit merrifield,565,138,427,24.42,75.58,126.4
595777,jurickson profar,687,168,519,24.45,75.55,126.2
677551,wander franco,364,89,275,24.45,75.55,126.2
663743,nick fortes,241,59,182,24.48,75.52,126.0
621566,matt olson,713,175,538,24.54,75.46,125.5
571970,max muncy,574,141,433,24.56,75.44,125.4
527038,wilmer flores,609,150,459,24.63,75.37,125.0
545121,ildemaro vargas,234,58,176,24.79,75.21,123.9
607043,brandon nimmo,690,172,518,24.93,75.07,123.0
592626,joc pederson,437,109,328,24.94,75.06,122.9
663538,nico hoerner,525,131,394,24.95,75.05,122.8
608385,jesse winker,556,139,417,25.0,75.0,122.5
596019,francisco lindor,727,182,545,25.03,74.97,122.3
663898,brendan rodgers,594,149,445,25.08,74.92,122.0
572233,christian walker,678,170,508,25.07,74.93,122.0
643376,danny jansen,263,66,197,25.1,74.9,121.9
649557,aledmys díaz,332,84,248,25.3,74.7,120.6
664983,jake mccarthy,367,93,274,25.34,74.66,120.3
596847,ji man choi,441,112,329,25.4,74.6,120.0
578428,jose iglesias,483,123,360,25.47,74.53,119.5
605131,austin barnes,216,55,161,25.46,74.54,119.5
521692,salvador pérez,479,122,357,25.47,74.53,119.5
596129,dan vogelbach,482,123,359,25.52,74.48,119.2
668804,bryan reynolds,623,159,464,25.52,74.48,119.2
660688,keibert ruiz,442,113,329,25.57,74.43,118.9
643446,jeff mcneil,610,156,454,25.57,74.43,118.8
593871,jorge polanco,457,117,340,25.6,74.4,118.7
673490,ha-seong kim,612,157,455,25.65,74.35,118.3
573262,mike yastrzemski,565,146,419,25.84,74.16,117.2
657077,alex verdugo,654,169,485,25.84,74.16,117.2
664761,alec bohm,654,169,485,25.84,74.16,117.2
673548,seiya suzuki,456,118,338,25.88,74.12,117.0
645277,ozzie albies,278,72,206,25.9,74.1,116.8
670623,isaac paredes,386,100,286,25.91,74.09,116.8
630105,jake cronenworth,706,183,523,25.92,74.08,116.7
608841,joey meneses,239,62,177,25.94,74.06,116.6
669222,nick senzel,435,113,322,25.98,74.02,116.4
456781,donovan solano,304,79,225,25.99,74.01,116.3
664702,myles straw,619,161,458,26.01,73.99,116.2
656555,rhys hoskins,696,181,515,26.01,73.99,116.2
682928,cj abrams,315,82,233,26.03,73.97,116.0
663647,ke'bryan hayes,563,147,416,26.11,73.89,115.6
649966,luis urías,474,124,350,26.16,73.84,115.3
668939,adley rutschman,470,123,347,26.17,73.83,115.2
656941,kyle schwarber,691,181,510,26.19,73.81,115.1
623993,anthony santander,658,173,485,26.29,73.71,114.5
502671,paul goldschmidt,662,174,488,26.28,73.72,114.5
680777,ryan jeffers,247,65,182,26.32,73.68,114.3
665862,jazz chisholm,250,66,184,26.4,73.6,113.8
621043,carlos correa,604,160,444,26.49,73.51,113.3
592192,mark canha,561,149,412,26.56,73.44,112.9
543760,marcus semien,738,196,542,26.56,73.44,112.9
669242,tommy edman,640,170,470,26.56,73.44,112.9
650402,gleyber torres,586,156,430,26.62,73.38,112.6
570482,gio urshela,562,150,412,26.69,73.31,112.2
624414,christian arroyo,307,82,225,26.71,73.29,112.1
650391,eloy jiménez,340,91,249,26.76,73.24,111.7
457759,justin turner,541,145,396,26.8,73.2,111.5
443558,nelson cruz,517,139,378,26.89,73.11,111.1
575929,willson contreras,498,134,364,26.91,73.09,110.9
665506,cristian pache,271,73,198,26.94,73.06,110.8
446334,evan longoria,297,80,217,26.94,73.06,110.8
602104,ramón urías,453,122,331,26.93,73.07,110.8
642133,rowdy tellez,605,163,442,26.94,73.06,110.7
621439,byron buxton,393,106,287,26.97,73.03,110.6
656305,matt chapman,638,172,466,26.96,73.04,110.6
641820,trey mancini,600,162,438,27.0,73.0,110.4
670770,tj friedl,259,70,189,27.03,72.97,110.3
668751,cal mitchell,233,63,170,27.04,72.96,110.2
543333,eric hosmer,425,115,310,27.06,72.94,110.1
543939,kolten wong,506,137,369,27.08,72.92,110.0
592669,hunter renfroe,532,144,388,27.07,72.93,110.0
621563,joey wendle,380,103,277,27.11,72.89,109.8
608703,matt reynolds,272,74,198,27.21,72.79,109.3
666182,bo bichette,719,196,523,27.26,72.74,109.0
641933,tyler o'neill,389,106,283,27.25,72.75,109.0
666969,adolis garcía,667,182,485,27.29,72.71,108.8
462101,elvis andrus,586,160,426,27.3,72.7,108.7
669004,mj melendez,537,147,390,27.37,72.63,108.3
664040,brandon lowe,277,76,201,27.44,72.56,108.0
666158,gavin lux,481,132,349,27.44,72.56,108.0
516416,jean segura,408,112,296,27.45,72.55,107.9
542364,rafael ortega,386,106,280,27.46,72.54,107.9
656896,emmanuel rivera,371,102,269,27.49,72.51,107.7
643396,isiah kiner-falefa,542,149,393,27.49,72.51,107.7
592518,manny machado,661,182,479,27.53,72.47,107.5
458015,joey votto,385,106,279,27.53,72.47,107.5
596103,austin slater,334,92,242,27.54,72.46,107.4
543063,brandon crawford,468,129,339,27.56,72.44,107.3
641645,luis guillorme,341,94,247,27.57,72.43,107.3
623912,harold ramírez,456,126,330,27.63,72.37,107.0
656775,cedric mullins,680,188,492,27.65,72.35,106.9
624585,jorge soler,311,86,225,27.65,72.35,106.8
543305,aaron hicks,465,129,336,27.74,72.26,106.4
670768,luis gonzález,357,99,258,27.73,72.27,106.4
605137,josh bell,670,186,484,27.76,72.24,106.3
602074,yonathan daza,425,118,307,27.76,72.24,106.2
592885,christian yelich,677,188,489,27.77,72.23,106.2
408234,miguel cabrera,443,123,320,27.77,72.23,106.2
683734,andrew vaughn,564,157,407,27.84,72.16,105.9
665926,andrés giménez,571,159,412,27.85,72.15,105.8
641487,j. p. crawford,625,174,451,27.84,72.16,105.8
664774,lamonte wade,251,70,181,27.89,72.11,105.6
663697,jonathan india,441,123,318,27.89,72.11,105.6
669304,josé miranda,483,135,348,27.95,72.05,105.3
656976,pavin smith,286,80,206,27.97,72.03,105.2
596748,maikel franco,397,111,286,27.96,72.04,105.2
624415,cavan biggio,311,87,224,27.97,72.03,105.1
642165,josh vanmeter,200,56,144,28.0,72.0,105.0
681082,bryson stott,492,138,354,28.05,71.95,104.8
502054,tommy pham,638,179,459,28.06,71.94,104.7
641584,jake fraley,260,73,187,28.08,71.92,104.6
686681,michael massey,203,57,146,28.08,71.92,104.6
668227,randy arozarena,662,186,476,28.1,71.9,104.5
572204,trayce thompson,256,72,184,28.12,71.88,104.4
571745,mitch haniger,263,74,189,28.14,71.86,104.3
518626,josh donaldson,557,157,400,28.19,71.81,104.0
500743,miguel rojas,510,144,366,28.24,71.76,103.8
592325,ben gamel,432,122,310,28.24,71.76,103.8
518595,travis d'arnaud,432,122,310,28.24,71.76,103.8
680911,owen miller,487,138,349,28.34,71.66,103.3
642708,amed rosario,695,197,498,28.35,71.65,103.2
543807,george springer,603,171,432,28.36,71.64,103.2
493329,yuli gurriel,592,168,424,28.38,71.62,103.1
592273,brandon drury,585,166,419,28.38,71.62,103.1
677951,bobby witt,640,182,458,28.44,71.56,102.8
641857,ryan mcmahon,612,174,438,28.43,71.57,102.8
664058,david fletcher,232,66,166,28.45,71.55,102.7
543877,christian vázquez,432,123,309,28.47,71.53,102.6
643265,garrett cooper,480,137,343,28.54,71.46,102.2
664023,ian happ,651,186,465,28.57,71.43,102.1
542303,marcell ozuna,521,149,372,28.6,71.4,102.0
663624,ryan mountcastle,619,177,442,28.59,71.41,102.0
647351,abraham toro,363,104,259,28.65,71.35,101.7
669261,jack suwinski,373,107,266,28.69,71.31,101.5
673357,luis robert,411,118,293,28.71,71.29,101.4
669450,cooper hummel,209,60,149,28.71,71.29,101.4
650559,bryan de la cruz,355,102,253,28.73,71.27,101.3
666185,dylan carlson,497,143,354,28.77,71.23,101.1
608348,carson kelly,364,105,259,28.85,71.15,100.7
663728,cal raleigh,433,125,308,28.87,71.13,100.6
571657,kyle farmer,592,171,421,28.89,71.11,100.5
669701,josh smith,256,74,182,28.91,71.09,100.4
647304,josh naylor,511,148,363,28.96,71.04,100.2
664238,dylan moore,266,77,189,28.95,71.05,100.2
669289,santiago espinal,507,147,360,28.99,71.01,100.0
453568,charlie blackmon,586,170,416,29.01,70.99,99.9
545341,randal grichuk,547,159,388,29.07,70.93,99.7
660636,diego castillo,296,86,210,29.05,70.95,99.7
606192,teoscar hernández,557,162,395,29.08,70.92,99.6
624413,pete alonso,691,201,490,29.09,70.91,99.6
663993,nathaniel lowe,653,190,463,29.1,70.9,99.5
664034,ty france,629,183,446,29.09,70.91,99.5
665482,gilberto celestino,347,101,246,29.11,70.89,99.5
657757,gavin sheets,419,122,297,29.12,70.88,99.4
572041,aj pollock,532,155,377,29.14,70.86,99.3
542932,jon berti,408,119,289,29.17,70.83,99.2
444482,david peralta,497,145,352,29.18,70.82,99.1
663611,nick madrigal,233,68,165,29.18,70.82,99.1
650859,luis rengifo,514,150,364,29.18,70.82,99.1
642731,thairo estrada,555,162,393,29.19,70.81,99.1
545361,mike trout,503,147,356,29.22,70.78,98.9
519317,giancarlo stanton,462,135,327,29.22,70.78,98.9
656541,sam hilliard,212,62,150,29.25,70.75,98.8
660821,jesús sánchez,352,103,249,29.26,70.74,98.7
677594,julio rodríguez,581,170,411,29.26,70.74,98.7
663586,austin riley,704,206,498,29.26,70.74,98.7
642715,willy adames,625,183,442,29.28,70.72,98.6
660670,ronald acuña,529,155,374,29.3,70.7,98.5
596059,rougned odor,481,141,340,29.31,70.69,98.5
621550,patrick wisdom,546,160,386,29.3,70.7,98.5
657656,ramón laureano,388,114,274,29.38,70.62,98.2
641355,cody bellinger,560,165,395,29.46,70.54,97.8
553993,eugenio suárez,650,192,458,29.54,70.46,97.4
621020,dansby swanson,709,210,499,29.62,70.38,97.0
661388,william contreras,388,115,273,29.64,70.36,96.9
628450,yadiel hernández,334,99,235,29.64,70.36,96.9
621433,brett phillips,236,70,166,29.66,70.34,96.8
543257,robbie grossman,493,147,346,29.82,70.18,96.1
663757,trent grisham,549,164,385,29.87,70.13,95.9
605119,brian anderson,388,116,272,29.9,70.1,95.8
676369,nelson velázquez,207,62,145,29.95,70.05,95.5
607054,jace peterson,337,101,236,29.97,70.03,95.4
669221,sean murphy,623,187,436,30.02,69.98,95.2
543281,josh harrison,433,130,303,30.02,69.98,95.2
660757,oscar gonzález,396,119,277,30.05,69.95,95.1
641680,jonah heim,456,137,319,30.04,69.96,95.1
624428,adam frazier,622,187,435,30.06,69.94,95.0
573131,darin ruf,399,120,279,30.08,69.92,94.9
502110,j. d. martinez,613,185,428,30.18,69.82,94.5
670032,nicky lopez,490,148,342,30.2,69.8,94.4
543543,brad miller,251,76,175,30.28,69.72,94.0
571771,enrique hernández,415,126,289,30.36,69.64,93.7
622682,víctor reyes,349,106,243,30.37,69.63,93.6
553882,omar narváez,302,92,210,30.46,69.54,93.2
572816,corey dickerson,305,93,212,30.49,69.51,93.1
642727,sergio alcántara,235,72,163,30.64,69.36,92.5
679529,spencer torkelson,414,127,287,30.68,69.32,92.3
640492,josé azocar,225,69,156,30.67,69.33,92.3
571976,wil myers,303,93,210,30.69,69.31,92.2
606132,raimel tapia,452,139,313,30.75,69.25,92.0
622110,matt duffy,257,79,178,30.74,69.26,92.0
624431,jose trevino,360,111,249,30.83,69.17,91.6
622534,manuel margot,382,118,264,30.89,69.11,91.4
643524,frank schwindel,304,94,210,30.92,69.08,91.2
672695,geraldo perdomo,510,158,352,30.98,69.02,91.0
676801,chas mccormick,413,128,285,30.99,69.01,90.9
614177,franmil reyes,487,151,336,31.01,68.99,90.9
605612,harold castro,451,140,311,31.04,68.96,90.7
621028,kevin newman,319,99,220,31.03,68.97,90.7
545358,max stassi,383,119,264,31.07,68.93,90.6
677950,alek thomas,412,128,284,31.07,68.93,90.6
543228,yan gomes,299,93,206,31.1,68.9,90.5
516782,starling marte,527,164,363,31.12,68.88,90.4
514917,césar hernández,628,196,432,31.21,68.79,90.0
642336,francisco mejía,314,98,216,31.21,68.79,90.0
656582,connor joe,480,150,330,31.25,68.75,89.8
668709,jj bleday,239,75,164,31.38,68.62,89.3
572191,michael taylor,468,147,321,31.41,68.59,89.2
500871,eduardo escobar,560,176,384,31.43,68.57,89.1
594777,kole calhoun,436,137,299,31.42,68.58,89.1
542583,jesús aguilar,512,161,351,31.45,68.55,89.0
592696,eddie rosario,282,89,193,31.56,68.44,88.6
641553,adam engel,266,84,182,31.58,68.42,88.5
641658,garrett hampson,237,75,162,31.65,68.35,88.2
425877,yadier molina,284,90,194,31.69,68.31,88.0
643393,tony kemp,570,181,389,31.75,68.25,87.8
664913,seth brown,562,179,383,31.85,68.15,87.4
641598,mitch garver,223,71,152,31.84,68.16,87.4
668800,andrew knizner,297,95,202,31.99,68.01,86.8
598265,jackie bradley,384,123,261,32.03,67.97,86.7
542340,jonathan villar,231,74,157,32.03,67.97,86.6
643289,mauricio dubón,274,88,186,32.12,67.88,86.3
600869,jeimer candelario,479,154,325,32.15,67.85,86.2
519058,mike moustakas,295,95,200,32.2,67.8,86.0
671739,michael harris,444,143,301,32.21,67.79,86.0
607732,jacob stallings,388,125,263,32.22,67.78,85.9
650489,willi castro,400,129,271,32.25,67.75,85.8
641914,sheldon neuse,310,100,210,32.26,67.74,85.8
553869,elías díaz,390,126,264,32.31,67.69,85.6
546991,albert almora,235,76,159,32.34,67.66,85.4
621438,tyrone taylor,416,135,281,32.45,67.55,85.0
669720,austin hays,587,191,396,32.54,67.46,84.7
572228,luke voit,578,188,390,32.53,67.47,84.7
666624,christopher morel,427,139,288,32.55,67.45,84.6
665750,leody taveras,341,111,230,32.55,67.45,84.6
656669,jordan luplow,233,76,157,32.62,67.38,84.4
665161,jeremy peña,566,185,381,32.69,67.31,84.1
644374,yu chang,202,66,136,32.67,67.33,84.1
596142,gary sánchez,483,158,325,32.71,67.29,84.0
624503,nick gordon,449,147,302,32.74,67.26,83.9
657041,lane thomas,556,182,374,32.73,67.27,83.9
660162,yoán moncada,443,145,298,32.73,67.27,83.9
592206,nick castellanos,582,191,391,32.82,67.18,83.6
665120,jared walsh,466,153,313,32.83,67.17,83.5
544725,leury garcía,322,106,216,32.92,67.08,83.2
571980,tyler naquin,349,115,234,32.95,67.05,83.1
605204,j. d. davis,369,122,247,33.06,66.94,82.7
624512,reese mcguire,281,93,188,33.1,66.9,82.6
663845,alfonso rivas,302,100,202,33.11,66.89,82.5
664728,kyle isbel,284,94,190,33.1,66.9,82.5
474832,brandon belt,308,102,206,33.12,66.88,82.5
669397,nick allen,326,108,218,33.13,66.87,82.4
657557,paul dejong,244,81,163,33.2,66.8,82.2
614173,franchy cordero,277,92,185,33.21,66.79,82.1
666801,rodolfo castro,278,93,185,33.45,66.55,81.2
608336,joey gallo,423,142,281,33.57,66.43,80.8
641531,hunter dozier,510,172,338,33.73,66.27,80.2
671277,luis garcía,376,127,249,33.78,66.22,80.1
662139,daulton varsho,604,204,400,33.77,66.23,80.1
670764,taylor walls,485,164,321,33.81,66.19,79.9
664874,seby zavala,209,71,138,33.97,66.03,79.4
622761,jorge mateo,539,183,356,33.95,66.05,79.4
543068,c. j. cron,639,217,422,33.96,66.04,79.4
595281,kevin kiermaier,229,78,151,34.06,65.94,79.1
503556,marwin gonzález,217,74,143,34.1,65.9,78.9
664056,harrison bader,319,109,210,34.17,65.83,78.7
682985,riley greene,421,144,277,34.2,65.8,78.6
542194,christian bethancourt,348,119,229,34.2,65.8,78.6
541645,avisaíl garcía,388,133,255,34.28,65.72,78.3
665833,oneil cruz,360,124,236,34.44,65.56,77.7
645302,víctor robles,414,143,271,34.54,65.46,77.4
660294,yoshi tsutsugo,202,70,132,34.65,65.35,77.0
669016,brandon marsh,482,167,315,34.65,65.35,77.0
596115,trevor story,404,140,264,34.65,65.35,77.0
621035,chris taylor,463,161,302,34.77,65.23,76.6
606157,aristides aquino,292,102,190,34.93,65.07,76.1
594807,adam duvall,326,114,212,34.97,65.03,75.9
680776,jarren duran,223,78,145,34.98,65.02,75.9
664731,p. j. higgins,231,81,150,35.06,64.94,75.6
669374,keston hiura,273,96,177,35.16,64.84,75.3
544369,didi gregorius,244,86,158,35.25,64.75,75.0
666915,bobby dalbec,363,128,235,35.26,64.74,75.0
660766,juan yepez,280,99,181,35.36,64.64,74.7
640461,chad pinder,390,138,252,35.38,64.62,74.6
669357,nolan gorman,315,112,203,35.56,64.44,74.0
621512,tomás nido,329,118,211,35.87,64.13,73.0
595879,javier báez,603,217,386,35.99,64.01,72.6
664059,sam haggerty,200,72,128,36.0,64.0,72.6
606992,eric haase,358,130,228,36.31,63.69,71.6
571466,tucker barnhart,319,116,203,36.36,63.64,71.5
656308,michael chavis,437,160,277,36.61,63.39,70.7
571912,luke maile,207,76,131,36.71,63.29,70.4
666139,josh lowe,200,74,126,37.0,63.0,69.5
595751,jorge alfaro,283,105,178,37.1,62.9,69.2
677649,ezequiel duran,226,84,142,37.17,62.83,69.0
455117,martín maldonado,387,144,243,37.21,62.79,68.9
666176,jo adell,301,112,189,37.21,62.79,68.9
570731,jonathan schoop,523,195,328,37.28,62.72,68.7
623205,andrew velazquez,350,131,219,37.43,62.57,68.3
455139,robinson chirinos,225,85,140,37.78,62.22,67.3
668731,akil baddoo,238,90,148,37.82,62.18,67.2
642350,josé siri,341,131,210,38.42,61.58,65.5
595978,austin hedges,351,136,215,38.75,61.25,64.6
661531,brian serven,208,82,126,39.42,60.58,62.7
663698,joey bart,301,123,178,40.86,59.14,59.1
