batter,player_name,total_pa,uab,cab,uab_rate,cab_rate,PCA+
650333,luis arráez,612,99,513,16.18,83.82,211.6
488726,michael brantley,287,52,235,18.12,81.88,184.6
670541,yordan álvarez,567,104,463,18.34,81.66,181.8
665742,juan soto,686,128,558,18.66,81.34,178.0
650490,yandy díaz,575,114,461,19.83,80.17,165.1
686469,vinnie pasquantino,301,61,240,20.27,79.73,160.7
608324,alex bregman,666,135,531,20.27,79.73,160.6
518692,freddie freeman,708,146,562,20.62,79.38,157.2
571448,nolan arenado,634,135,499,21.29,78.71,150.9
680757,steven kwan,658,143,515,21.73,78.27,147.1
543685,anthony rendon,207,45,162,21.74,78.26,147.0
596146,max kepler,460,101,359,21.96,78.04,145.2
669257,will smith,585,129,456,22.05,77.95,144.4
518934,dj lemahieu,555,123,432,22.16,77.84,143.4
605141,mookie betts,648,144,504,22.22,77.78,142.9
547989,josé abreu,693,154,539,22.22,77.78,142.9
666971,lourdes gurriel,505,113,392,22.38,77.62,141.7
672386,alejandro kirk,556,127,429,22.84,77.16,137.9
663457,lars nootbaar,358,82,276,22.91,77.09,137.5
608369,corey seager,667,153,514,22.94,77.06,137.2
606115,orlando arcia,244,56,188,22.95,77.05,137.1
680977,brendan donovan,480,111,369,23.12,76.88,135.8
643217,andrew benintendi,534,124,410,23.22,76.78,135.0
543309,kyle higashioka,258,60,198,23.26,76.74,134.8
543592,austin nola,420,98,322,23.33,76.67,134.2
592450,aaron judge,692,162,530,23.41,76.59,133.6
668942,josh rojas,511,120,391,23.48,76.52,133.1
606466,ketel marte,570,134,436,23.51,76.49,132.9
663656,kyle tucker,617,145,472,23.5,76.5,132.9
592663,j. t. realmuto,583,137,446,23.5,76.5,132.9
547180,bryce harper,438,103,335,23.52,76.48,132.8
467793,carlos santana,524,124,400,23.66,76.34,131.7
605353,vimael machín,253,60,193,23.72,76.28,131.4
660271,shohei ohtani,666,158,508,23.72,76.28,131.3
646240,rafael devers,614,146,468,23.78,76.22,130.9
608070,josé ramírez,689,164,525,23.8,76.2,130.7
457705,andrew mccutchen,590,141,449,23.9,76.1,130.0
663837,matt vierling,372,89,283,23.92,76.08,129.9
607208,trea turner,718,172,546,23.96,76.04,129.6
